EmpID,Department,Experience,Salary,Performance,Bonus
3,Sales,7,100627,5,10062.7
10,Marketing,30,119939,5,11993.900000000001
11,HR,19,101379,5,10137.900000000001
15,HR,13,148248,5,14824.800000000001
25,IT,26,140979,4,14097.900000000001
29,Marketing,24,129617,5,12961.7
35,IT,22,129700,4,12970.0
39,HR,4,143341,4,14334.1
48,HR,8,128767,4,12876.7
56,IT,12,104884,5,10488.400000000001
58,Sales,4,119392,5,11939.2
63,IT,21,108142,4,10814.2
68,Sales,30,116171,4,11617.1
72,IT,5,136766,5,13676.6
76,Marketing,17,109532,4,10953.2
77,HR,27,129579,4,12957.900000000001
84,Marketing,28,109610,4,10961.0
86,HR,10,123668,5,12366.800000000001
93,Marketing,26,117020,4,11702.0
94,HR,19,146073,4,14607.300000000001
96,IT,10,124326,5,12432.6
98,Marketing,2,130934,4,13093.400000000001
103,IT,20,144997,5,14499.7
108,Sales,21,106749,5,10674.900000000001
115,Finance,20,120420,5,12042.0
123,HR,11,126602,5,12660.2
124,Marketing,10,137347,4,13734.7
129,HR,25,107918,5,10791.800000000001
137,HR,5,100977,5,10097.7
149,Marketing,8,137034,4,13703.400000000001
164,Finance,13,118119,4,11811.900000000001
177,Marketing,1,135053,5,13505.300000000001
180,Marketing,1,116551,4,11655.1
182,Sales,7,145117,4,14511.7
191,Marketing,29,117560,4,11756.0
193,Sales,8,113548,5,11354.800000000001
194,IT,16,135426,4,13542.6
195,HR,7,128196,5,12819.6
200,Sales,10,105385,5,10538.5
205,Finance,21,125630,5,12563.0
214,Sales,18,121829,5,12182.900000000001
222,IT,5,101450,5,10145.0
226,HR,5,102518,5,10251.800000000001
230,Marketing,30,117103,5,11710.300000000001
235,IT,30,101687,5,10168.7
238,Sales,10,138813,5,13881.300000000001
242,Finance,29,113426,5,11342.6
262,Finance,7,128377,5,12837.7
265,Sales,25,145603,5,14560.300000000001
295,Sales,8,134881,5,13488.1
302,IT,17,127004,5,12700.400000000001
305,IT,19,119756,5,11975.6
312,HR,4,137296,5,13729.6
334,Marketing,19,108533,4,10853.300000000001
342,HR,6,113822,4,11382.2
345,HR,12,118945,5,11894.5
347,Sales,10,136835,4,13683.5
363,IT,19,149906,4,14990.6
371,Sales,10,118705,4,11870.5
381,Finance,17,134182,4,13418.2
401,Finance,7,146982,5,14698.2
402,Sales,21,145684,4,14568.400000000001
405,Sales,17,141905,4,14190.5
406,IT,28,125320,4,12532.0
416,Sales,16,141811,4,14181.1
424,HR,30,107421,5,10742.1
427,Marketing,15,133268,5,13326.800000000001
431,Marketing,23,128551,5,12855.1
434,Sales,30,112288,5,11228.800000000001
437,Marketing,13,114104,5,11410.400000000001
439,IT,3,104480,5,10448.0
444,HR,5,134660,5,13466.0
446,Finance,24,124533,5,12453.300000000001
447,IT,17,112705,4,11270.5
450,Marketing,27,145435,4,14543.5
452,Finance,3,141371,5,14137.1
457,HR,22,126542,4,12654.2
458,Marketing,9,110295,4,11029.5
460,Sales,30,116046,4,11604.6
461,HR,17,137605,4,13760.5
475,Marketing,19,149674,4,14967.400000000001
476,HR,29,102659,4,10265.900000000001
482,IT,19,136432,5,13643.2
486,Marketing,1,135584,5,13558.400000000001
489,Finance,24,134725,4,13472.5
497,HR,2,132897,5,13289.7
500,Sales,9,118422,5,11842.2
