EmpID,Department,Experience,Salary,Performance
1,Sales,6,146002,2
2,Marketing,29,33006,5
3,Sales,7,100627,5
4,Sales,3,89594,4
5,IT,21,50715,3
6,HR,26,41529,1
7,Sales,28,92636,3
8,Finance,24,111784,2
9,Sales,6,99587,2
10,Marketing,30,119939,5
11,HR,19,101379,5
12,IT,23,46568,5
13,Marketing,18,145554,2
14,HR,25,68518,1
15,HR,13,148248,5
16,IT,16,76493,2
17,Sales,15,77350,5
18,Sales,18,111134,2
19,Marketing,3,43379,5
20,HR,30,101186,2
21,Sales,6,53545,1
22,IT,24,90980,5
23,Marketing,5,61785,5
24,IT,30,58569,3
25,IT,26,140979,4
26,HR,14,149308,1
27,IT,15,62906,3
28,Finance,18,118385,1
29,Marketing,24,129617,5
30,HR,2,147542,2
31,IT,29,58478,4
32,Finance,21,130425,3
33,HR,11,93536,2
34,IT,27,148132,1
35,IT,22,129700,4
36,Marketing,16,147371,1
37,Finance,4,149641,3
38,IT,30,93816,4
39,HR,4,143341,4
40,HR,5,91446,5
41,Finance,22,137108,1
42,Sales,29,126200,2
43,IT,11,124105,3
44,Sales,20,48747,5
45,IT,22,37998,1
46,Finance,22,107998,2
47,IT,26,88411,1
48,HR,8,128767,4
49,Marketing,7,61415,2
50,IT,1,30068,3
51,Finance,26,79723,5
52,HR,25,88898,3
53,Finance,8,114855,2
54,Finance,22,129156,2
55,IT,18,80454,3
56,IT,12,104884,5
57,Marketing,16,72710,1
58,Sales,4,119392,5
59,Finance,21,42170,2
60,Marketing,23,83253,2
61,Sales,24,62061,4
62,IT,4,93003,1
63,IT,21,108142,4
64,Marketing,29,80861,5
65,IT,16,45858,3
66,HR,28,85528,3
67,IT,28,109183,1
68,Sales,30,116171,4
69,Sales,13,53556,4
70,Sales,14,115959,2
71,HR,14,50061,4
72,IT,5,136766,5
73,Finance,11,135275,2
74,Finance,30,49371,5
75,IT,29,148838,2
76,Marketing,17,109532,4
77,HR,27,129579,4
78,IT,20,57419,4
79,Finance,23,37252,4
80,Finance,29,140900,1
81,HR,25,106242,2
82,Sales,10,38273,2
83,Finance,18,91159,2
84,Marketing,28,109610,4
85,IT,22,87988,2
86,HR,10,123668,5
87,Marketing,26,67857,5
88,Sales,3,76887,5
89,Marketing,7,98434,5
90,Finance,26,95213,4
91,IT,12,95971,2
92,Finance,20,61170,1
93,Marketing,26,117020,4
94,HR,19,146073,4
95,IT,11,40744,3
96,IT,10,124326,5
97,HR,13,127829,1
98,Marketing,2,130934,4
99,HR,21,73671,3
