InvoiceNo,CustomerID,StockCode,Quantity,UnitPrice,InvoiceDate
INV50000,C001,A100,2,39.5,2025-01-01
INV50002,C001,C300,2,40.8,2025-03-03
INV50003,C001,D400,1,59.0,2025-04-04
INV50004,C001,E500,2,13.84,2025-05-05
INV50005,C001,A100,3,57.83,2025-06-06
INV50006,C001,B200,5,18.25,2025-07-07
INV50007,C001,C300,4,42.95,2025-08-08
INV50008,C001,D400,3,18.89,2025-09-09
INV50010,C002,B200,4,30.9,2025-02-02
INV50011,C002,C300,5,21.53,2025-03-03
INV50012,C002,D400,1,32.56,2025-04-04
INV50013,C002,E500,4,39.53,2025-05-05
INV50014,C002,A100,4,30.37,2025-06-06
INV50015,C002,B200,1,48.8,2025-07-07
INV50018,C002,E500,4,36.71,2025-10-10
INV50019,C002,A100,3,18.56,2025-11-11
INV50020,C003,C300,1,38.17,2025-03-03
INV50021,C003,D400,4,28.88,2025-04-04
INV50022,C003,E500,1,21.69,2025-05-05
INV50023,C003,A100,5,40.92,2025-06-06
INV50024,C003,B200,1,41.58,2025-07-07
INV50026,C003,D400,3,11.99,2025-09-09
INV50027,C003,E500,4,38.76,2025-10-10
INV50028,C003,A100,4,55.82,2025-11-11
INV50030,C004,D400,1,17.09,2025-04-04
INV50031,C004,E500,1,40.65,2025-05-05
INV50033,C004,B200,2,22.53,2025-07-07
INV50034,C004,C300,3,17.33,2025-08-08
INV50035,C004,D400,3,21.31,2025-09-09
INV50036,C004,E500,3,47.52,2025-10-10
INV50038,C004,B200,5,14.29,2025-12-12
INV50039,C004,C300,5,8.79,2025-01-13
INV50040,C005,E500,4,55.48,2025-01-05
INV50041,C005,A100,4,51.27,2025-02-06
INV50042,C005,B200,3,59.21,2025-03-07
INV50044,C005,D400,4,53.21,2025-05-09
INV50045,C005,E500,2,55.79,2025-06-10
INV50046,C005,A100,4,45.43,2025-07-11
INV50047,C005,B200,4,8.54,2025-08-12
INV50049,C005,D400,2,59.92,2025-10-14
INV50050,C006,A100,1,37.52,2025-02-06
INV50053,C006,D400,4,27.53,2025-05-09
INV50054,C006,E500,3,47.95,2025-06-10
INV50055,C006,A100,5,38.62,2025-07-11
INV50056,C006,B200,1,38.55,2025-08-12
INV50057,C006,C300,2,47.76,2025-09-13
INV50058,C006,D400,1,41.0,2025-10-14
INV50059,C006,E500,3,17.73,2025-11-15
INV50060,C007,B200,3,35.8,2025-03-07
INV50061,C007,C300,3,43.22,2025-04-08
INV50062,C007,D400,1,8.46,2025-05-09
INV50064,C007,A100,1,27.47,2025-07-11
INV50065,C007,B200,5,20.32,2025-08-12
INV50066,C007,C300,1,9.56,2025-09-13
INV50068,C007,E500,4,42.51,2025-11-15
INV50069,C007,A100,3,48.54,2025-12-16
INV50070,C008,C300,1,30.22,2025-04-08
INV50071,C008,D400,3,9.56,2025-05-09
INV50073,C008,A100,3,58.53,2025-07-11
INV50075,C008,C300,3,58.5,2025-09-13
INV50076,C008,D400,2,24.18,2025-10-14
INV50077,C008,E500,1,21.61,2025-11-15
INV50078,C008,A100,4,23.19,2025-12-16
INV50079,C008,B200,2,23.29,2025-01-17
INV50080,C009,D400,2,32.95,2025-01-09
INV50081,C009,E500,5,37.07,2025-02-10
INV50082,C009,A100,1,48.57,2025-03-11
INV50083,C009,B200,2,25.85,2025-04-12
INV50084,C009,C300,5,28.36,2025-05-13
INV50086,C009,E500,2,9.52,2025-07-15
INV50087,C009,A100,3,28.14,2025-08-16
INV50088,C009,B200,2,44.79,2025-09-17
INV50090,C010,E500,5,35.06,2025-02-10
INV50091,C010,A100,4,24.05,2025-03-11
INV50092,C010,B200,4,49.21,2025-04-12
INV50094,C010,D400,3,22.57,2025-06-14
INV50095,C010,E500,1,17.4,2025-07-15
INV50096,C010,A100,2,38.95,2025-08-16
INV50097,C010,B200,2,25.97,2025-09-17
INV50098,C010,C300,1,42.55,2025-10-18
