VehicleID,Timestamp,Latitude,Longitude,Speed
TX-1,2025-01-01 08:00:00,28.51,77.11,10
TX-1,2025-01-02 08:00:00,28.521,77.121,14
TX-1,2025-01-03 08:00:00,28.533,77.133,18
TX-1,2025-01-04 08:00:00,28.546,77.146,22
TX-1,2025-01-05 08:00:00,28.56,77.16,26
TX-1,2025-01-06 08:00:00,28.575,77.175,30
TX-1,2025-01-07 08:00:00,28.591,77.191,34
TX-1,2025-01-08 08:00:00,28.608,77.208,38
TX-1,2025-01-09 08:00:00,28.626,77.226,42
TX-1,2025-01-10 08:00:00,28.645,77.245,46
TX-1,2025-01-11 08:00:00,28.665,77.265,50
TX-1,2025-01-12 08:00:00,28.686,77.286,54
TX-1,2025-01-13 08:00:00,28.708,77.308,58
TX-1,2025-01-14 08:00:00,28.731,77.331,62
TX-1,2025-01-15 08:00:00,28.755,77.355,66
TX-2,2025-01-01 08:00:00,28.61,77.21,22
TX-2,2025-01-02 08:00:00,28.621,77.221,26
TX-2,2025-01-03 08:00:00,28.633,77.233,30
TX-2,2025-01-04 08:00:00,28.646,77.246,34
TX-2,2025-01-05 08:00:00,28.66,77.26,38
TX-2,2025-01-06 08:00:00,28.675,77.275,42
TX-2,2025-01-07 08:00:00,28.691,77.291,46
TX-2,2025-01-08 08:00:00,28.708,77.308,50
TX-2,2025-01-09 08:00:00,28.726,77.326,54
TX-2,2025-01-10 08:00:00,28.745,77.345,58
TX-2,2025-01-11 08:00:00,28.765,77.365,62
TX-2,2025-01-12 08:00:00,28.786,77.386,66
TX-2,2025-01-13 08:00:00,28.808,77.408,70
TX-2,2025-01-14 08:00:00,28.831,77.431,74
TX-2,2025-01-15 08:00:00,28.855,77.455,78
TX-3,2025-01-01 08:00:00,28.71,77.31,34
TX-3,2025-01-02 08:00:00,28.721,77.321,38
TX-3,2025-01-03 08:00:00,28.733,77.333,42
TX-3,2025-01-04 08:00:00,28.746,77.346,46
TX-3,2025-01-05 08:00:00,28.76,77.36,50
TX-3,2025-01-06 08:00:00,28.775,77.375,54
TX-3,2025-01-07 08:00:00,28.791,77.391,58
TX-3,2025-01-08 08:00:00,28.808,77.408,62
TX-3,2025-01-09 08:00:00,28.826,77.426,66
TX-3,2025-01-10 08:00:00,28.845,77.445,70
TX-3,2025-01-11 08:00:00,28.865,77.465,74
TX-3,2025-01-12 08:00:00,28.886,77.486,78
TX-3,2025-01-13 08:00:00,28.908,77.508,82
TX-3,2025-01-14 08:00:00,28.931,77.531,86
TX-3,2025-01-15 08:00:00,28.955,77.555,90
